time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2022-03-09 07:45:00,2022-03-09 12:00:00,SELL,SweepEQH,2047.7,2060.57,2004.44,2004.44,0.08,345.52,3.356,TP,0.37,10345.52
2022-03-09 18:00:00,2022-03-09 19:15:00,BUY,SweepEQL,2004.7,1989.03,2052.41,1989.03,0.07,-110.16,-1.004,SL,1.0,10235.36
2022-03-10 05:30:00,2022-03-11 14:00:00,BUY,SweepEQL,1978.45,1969.01,2021.63,1969.01,0.11,-104.63,-1.007,SL,1.18,10130.73
2022-03-11 17:00:00,2022-03-14 13:15:00,BUY,SweepEQL,1980.77,1955.92,2057.21,1955.92,0.04,-99.69,-1.003,SL,1.06,10031.04
2022-03-14 14:15:00,2022-03-14 15:45:00,BUY,SweepEQL,1967.63,1953.13,2021.63,1953.13,0.07,-101.99,-1.005,SL,1.24,9929.05
2022-03-18 13:15:00,2022-03-18 15:15:00,BUY,SweepEQL,1938.92,1927.83,1976.69,1927.83,0.09,-100.47,-1.006,SL,1.54,9828.58
2022-03-21 15:45:00,2022-03-22 16:00:00,BUY,SweepEQL,1930.13,1916.75,1978.5,1916.75,0.07,-94.14,-1.005,SL,1.45,9734.44
2022-03-23 04:00:00,2022-03-23 21:45:00,BUY,SweepEQL,1922.89,1914.88,1945.94,1945.94,0.12,275.76,2.869,TP,0.73,10010.2
2022-03-30 19:15:00,2022-03-31 16:30:00,SELL,SweepEQH,1932.06,1939.57,1907.28,1939.57,0.13,-98.5,-1.009,SL,1.17,9911.7
2022-04-06 07:30:00,2022-04-06 11:45:00,SELL,SweepEQH,1920.53,1925.94,1890.02,1925.94,0.18,-98.59,-1.013,SL,1.1,9813.11
2022-04-20 11:45:00,2022-04-21 14:30:00,BUY,SweepEQL,1947.01,1938.51,1982.0,1938.51,0.12,-102.81,-1.008,SL,1.19,9710.3
2022-04-26 13:00:00,2022-04-27 11:00:00,BUY,SweepEQL,1907.25,1894.92,1946.47,1894.92,0.08,-99.2,-1.006,SL,1.67,9611.09
2022-05-02 13:45:00,2022-05-02 14:30:00,BUY,SweepEQL,1882.43,1876.16,1912.06,1876.16,0.15,-95.14,-1.011,SL,1.04,9515.95
2022-05-04 21:00:00,2022-05-04 21:30:00,BUY,SweepEQL,1873.04,1863.61,1912.06,1863.61,0.1,-95.04,-1.007,SL,1.19,9420.92
2022-05-05 02:00:00,2022-05-09 13:15:00,BUY,SweepEQL,1887.35,1860.62,1982.0,1860.62,0.04,-107.18,-1.003,SL,1.17,9313.74
2022-05-12 01:00:00,2022-05-12 03:30:00,SELL,SweepEQH,1850.83,1856.97,1831.97,1856.97,0.15,-93.11,-1.011,SL,1.13,9220.62
2022-05-20 18:00:00,2022-05-27 23:00:00,BUY,SweepEQL,1844.15,1831.26,1885.59,1853.66,0.07,66.08,0.733,time_stop,0.35,9286.7
2022-05-30 10:45:00,2022-05-31 17:15:00,SELL,SweepEQH,1858.41,1864.49,1840.78,1840.78,0.15,263.4,2.886,TP,0.45,9550.1
2022-06-02 15:30:00,2022-06-02 16:00:00,SELL,SweepEQH,1854.09,1859.41,1837.89,1859.41,0.18,-97.09,-1.013,SL,1.26,9453.01
2022-06-03 05:30:00,2022-06-03 19:00:00,SELL,SweepEQH,1869.94,1874.6,1851.0,1851.0,0.2,377.4,4.052,TP,0.21,9830.41
2022-06-07 04:30:00,2022-06-08 18:00:00,BUY,SweepEQL,1840.98,1836.56,1857.82,1857.82,0.22,368.94,3.793,TP,0.55,10199.35
2022-06-09 09:15:00,2022-06-10 15:30:00,SELL,SweepEQH,1849.89,1855.71,1828.5,1828.5,0.18,383.76,3.664,TP,0.47,10583.11
2022-06-15 21:30:00,2022-06-23 06:00:00,BUY,SweepEQL,1838.42,1812.09,1919.83,1833.0,0.04,-21.96,-0.208,time_stop,0.88,10561.15
2022-06-23 08:45:00,2022-06-23 12:45:00,BUY,SweepEQL,1835.05,1830.67,1847.93,1830.67,0.24,-106.86,-1.016,SL,1.04,10454.29
2022-06-24 05:30:00,2022-06-24 16:00:00,BUY,SweepEQL,1826.12,1821.26,1846.04,1821.26,0.21,-103.62,-1.014,SL,1.89,10350.67
2022-06-28 02:45:00,2022-06-28 14:15:00,BUY,SweepEQL,1823.85,1821.18,1834.53,1821.18,0.39,-106.7,-1.026,SL,1.3,10243.97
2022-06-29 13:15:00,2022-06-30 12:45:00,BUY,SweepEQL,1818.96,1811.54,1841.03,1811.54,0.14,-104.82,-1.009,SL,1.07,10139.14
2022-07-01 16:00:00,2022-07-05 17:00:00,BUY,SweepEQL,1792.63,1783.28,1825.1,1783.28,0.11,-103.64,-1.007,SL,2.8,10035.5
2022-07-06 09:30:00,2022-07-06 13:00:00,BUY,SweepEQL,1768.47,1762.45,1804.7,1762.45,0.17,-103.47,-1.012,SL,1.24,9932.03
2022-07-15 16:00:00,2022-07-20 22:30:00,BUY,SweepEQL,1714.11,1699.02,1767.96,1699.02,0.07,-106.12,-1.005,SL,1.05,9825.91
2022-07-27 13:45:00,2022-07-27 21:00:00,SELL,SweepEQH,1719.75,1725.79,1693.23,1725.79,0.16,-97.69,-1.012,SL,1.21,9728.22
2022-07-28 05:15:00,2022-07-28 10:00:00,SELL,SweepEQH,1734.86,1742.33,1711.52,1742.33,0.13,-98.05,-1.009,SL,1.23,9630.17
2022-08-09 04:00:00,2022-08-09 11:00:00,SELL,SweepEQH,1787.37,1790.98,1772.56,1790.98,0.27,-99.47,-1.019,SL,1.19,9530.7
2022-08-18 11:45:00,2022-08-18 18:30:00,BUY,SweepEQL,1766.47,1760.44,1784.14,1760.44,0.16,-97.63,-1.012,SL,1.32,9433.07
2022-08-23 03:15:00,2022-08-23 15:15:00,BUY,SweepEQL,1737.94,1733.86,1749.06,1733.86,0.23,-95.42,-1.017,SL,1.34,9337.65
2022-08-23 16:30:00,2022-08-29 04:15:00,BUY,SweepEQL,1740.72,1730.06,1772.4,1730.06,0.09,-96.58,-1.007,SL,1.37,9241.08
