time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2006-12-20 19:45:00,2007-01-02 08:00:00,BUY,FVG-POI,621.8,616.49,637.7,637.7,0.19,300.77,2.979,TP,0.81,10300.77
2007-01-04 02:00:00,2007-01-04 09:30:00,BUY,OB-BOS,628.5,625.7,644.7,625.7,0.37,-106.19,-1.025,SL,1.54,10194.58
2007-01-04 13:00:00,2007-01-04 21:00:00,BUY,FVG-POI,628.3,620.92,649.6,620.92,0.14,-104.28,-1.009,SL,1.1,10090.3
2007-01-05 09:45:00,2007-01-05 11:00:00,SELL,FVG-POI,622.4,624.51,614.7,624.51,0.48,-104.85,-1.033,SL,1.04,9985.45
2007-01-10 12:15:00,2007-01-17 21:00:00,BUY,OB-CHoCH,611.0,602.83,644.7,631.2,0.12,241.56,2.463,time_stop,0.71,10227.01
2007-01-19 04:45:00,2007-01-22 15:30:00,BUY,FVG-POI,628.5,626.75,636.2,636.2,0.58,442.54,4.36,TP,0.86,10669.55
2007-01-26 17:30:00,2007-01-31 15:45:00,SELL,FVG-POI,643.9,648.76,627.5,648.76,0.22,-108.48,-1.014,SL,1.6,10561.08
2007-02-05 04:30:00,2007-02-06 12:15:00,SELL,FVG-POI,647.7,653.79,627.0,653.79,0.17,-104.65,-1.012,SL,1.07,10456.43
2007-02-08 02:00:00,2007-02-08 09:15:00,BUY,FVG-POI,652.5,649.98,659.2,649.98,0.41,-106.25,-1.028,SL,1.39,10350.18
2007-02-21 05:45:00,2007-02-21 15:15:00,SELL,FVG-POI,659.0,660.87,647.5,660.87,0.55,-106.58,-1.037,SL,1.45,10243.6
2007-02-27 19:30:00,2007-03-02 17:15:00,SELL,OB-CHoCH,679.2,689.35,647.5,647.5,0.1,316.3,3.116,TP,0.0,10559.9
2007-03-06 17:30:00,2007-03-14 03:00:00,BUY,FVG-POI,646.1,639.83,663.8,640.6,0.17,-94.69,-0.888,time_stop,0.88,10465.21
2007-03-14 16:45:00,2007-03-15 15:45:00,SELL,FVG-POI,640.7,647.52,619.7,647.52,0.15,-103.32,-1.01,SL,1.16,10361.89
2007-03-23 14:45:00,2007-03-26 21:00:00,SELL,OB-BOS,660.6,664.59,649.6,664.59,0.26,-105.54,-1.018,SL,1.05,10256.35
2007-03-26 23:15:00,2007-03-27 11:00:00,SELL,OB-CHoCH,662.9,665.12,656.3,665.12,0.46,-105.57,-1.031,SL,1.03,10150.78
2007-03-27 14:15:00,2007-03-28 01:00:00,SELL,OB-CHoCH,663.2,665.48,657.5,665.48,0.44,-103.49,-1.031,SL,2.23,10047.29
2007-03-28 02:45:00,2007-03-28 09:00:00,SELL,FVG-POI,664.3,665.89,659.1,665.89,0.63,-104.31,-1.044,SL,1.45,9942.98
2007-03-29 02:00:00,2007-03-29 09:30:00,BUY,OB-CHoCH,665.9,663.97,674.5,663.97,0.52,-103.93,-1.036,SL,1.14,9839.05
2007-03-29 13:00:00,2007-03-29 14:15:00,BUY,OB-CHoCH,665.4,663.9,669.0,663.9,0.65,-102.28,-1.047,SL,1.4,9736.77
2007-03-30 08:15:00,2007-03-30 14:15:00,SELL,FVG-POI,661.8,663.81,654.7,663.81,0.48,-99.87,-1.035,SL,1.24,9636.9
2007-03-30 15:00:00,2007-03-30 17:30:00,SELL,FVG-POI,661.1,665.16,649.6,665.16,0.24,-99.05,-1.017,SL,1.11,9537.84
2007-04-02 10:30:00,2007-04-02 19:15:00,SELL,OB-CHoCH,662.7,665.19,654.7,665.19,0.38,-97.39,-1.028,SL,1.04,9440.46
2007-04-03 01:45:00,2007-04-04 14:45:00,SELL,OB-BOS,662.8,667.5,649.6,667.5,0.2,-95.4,-1.015,SL,1.53,9345.06
2007-04-25 02:00:00,2007-05-02 09:30:00,SELL,FVG-POI,682.1,687.87,665.1,672.1,0.16,158.88,1.722,time_stop,0.75,9503.94
2007-05-03 14:15:00,2007-05-04 14:30:00,SELL,FVG-POI,674.1,684.59,643.3,684.59,0.09,-95.03,-1.007,SL,1.17,9408.9
2007-05-10 02:00:00,2007-05-10 15:00:00,SELL,FVG-POI,679.3,681.97,672.3,672.3,0.35,242.55,2.594,TP,0.22,9651.45
2007-05-22 02:45:00,2007-05-22 09:45:00,SELL,OB-BOS,661.8,664.5,653.3,664.5,0.36,-99.59,-1.026,SL,1.15,9551.86
2007-05-22 11:45:00,2007-05-29 22:15:00,SELL,FVG-POI,662.3,666.51,643.3,656.8,0.23,124.89,1.291,time_stop,0.48,9676.75
2007-05-30 10:30:00,2007-05-30 12:00:00,BUY,FVG-POI,658.1,655.35,671.0,655.35,0.35,-98.82,-1.025,SL,1.02,9577.93
2007-05-31 08:45:00,2007-05-31 10:45:00,SELL,FVG-POI,654.8,657.23,643.3,657.23,0.39,-97.3,-1.029,SL,1.03,9480.62
2007-06-07 12:15:00,2007-06-08 09:15:00,SELL,OB-BOS,668.9,673.15,656.2,656.2,0.22,277.86,2.972,TP,0.31,9758.48
2007-06-12 20:30:00,2007-06-13 16:45:00,SELL,FVG-POI,648.5,651.76,636.5,651.76,0.3,-99.81,-1.021,SL,1.14,9658.67
2007-06-14 06:15:00,2007-06-14 15:45:00,SELL,FVG-POI,649.7,651.73,644.8,651.73,0.48,-100.9,-1.034,SL,2.02,9557.76
2007-06-15 01:00:00,2007-06-21 17:30:00,BUY,OB-CHoCH,653.5,649.43,670.2,649.43,0.23,-95.25,-1.017,SL,1.38,9462.51
2007-06-22 15:15:00,2007-06-26 16:30:00,SELL,OB-CHoCH,653.4,656.56,642.7,642.7,0.3,318.9,3.367,TP,0.19,9781.41
2007-07-02 01:00:00,2007-07-05 16:15:00,BUY,FVG-POI,650.8,647.48,661.2,647.48,0.29,-98.35,-1.021,SL,1.42,9683.06
2007-07-06 07:45:00,2007-07-06 16:15:00,SELL,FVG-POI,649.2,652.29,639.8,652.29,0.31,-97.83,-1.023,SL,1.07,9585.23
2007-07-17 19:00:00,2007-07-18 16:30:00,SELL,OB-CHoCH,664.4,671.61,643.6,671.61,0.13,-94.65,-1.01,SL,1.16,9490.58
2007-07-25 06:15:00,2007-07-25 11:00:00,BUY,FVG-POI,680.8,676.36,693.3,676.36,0.21,-94.69,-1.016,SL,1.06,9395.89
2007-08-06 04:30:00,2007-08-06 15:45:00,BUY,FVG-POI,672.3,670.29,678.7,670.29,0.47,-97.63,-1.035,SL,1.35,9298.26
2007-08-08 01:00:00,2007-08-08 14:45:00,SELL,FVG-POI,670.7,674.86,658.8,674.86,0.22,-93.08,-1.017,SL,1.08,9205.19
2007-08-10 19:15:00,2007-08-16 16:15:00,SELL,OB-CHoCH,669.7,675.22,653.3,653.3,0.17,277.61,2.959,TP,0.62,9482.8
2007-08-17 20:15:00,2007-08-22 15:30:00,SELL,FVG-POI,655.8,661.09,639.8,661.09,0.18,-96.47,-1.013,SL,1.04,9386.33
2007-08-24 04:30:00,2007-08-24 08:15:00,BUY,FVG-POI,659.5,657.85,664.5,657.85,0.57,-98.04,-1.042,SL,1.27,9288.29
2007-08-24 10:00:00,2007-08-31 17:00:00,BUY,OB-CHoCH,659.8,653.89,676.6,672.2,0.16,197.28,2.086,time_stop,0.14,9485.57
2007-09-04 15:15:00,2007-09-06 14:15:00,BUY,OB-BOS,675.2,670.77,687.5,687.5,0.21,256.83,2.759,TP,0.25,9742.4
2007-09-14 13:30:00,2007-09-14 14:30:00,SELL,FVG-POI,704.7,708.0,696.0,708.0,0.3,-100.99,-1.021,SL,1.64,9641.41
2007-10-09 09:15:00,2007-10-09 11:15:00,BUY,FVG-POI,732.0,727.44,747.4,727.44,0.21,-97.32,-1.015,SL,1.01,9544.09
2007-10-18 10:15:00,2007-10-18 14:30:00,SELL,OB-CHoCH,756.4,764.92,726.3,764.92,0.11,-94.51,-1.008,SL,1.17,9449.58
